ASBID,CATEGORY,PROPERTY,OBJECT,DATATYPE
4B0W1WZJ,Vorspannung,RICHTUNG,150011200000000,
4B0W1WZJ,Vorspannung,INT_EXT,150021000000000,
4B0W1WZJ,Vorspannung,VORSP_GRAD,150031000000000,
4B0W1WZJ,Vorspannung,SPANNVERF,150042311000000,
4B0W1WZJ,Vorspannung,SP_KRAFT,135,
4B0W1WZJ,Vorspannung,SP_STRECKG,1450,
4B0W1WZJ,Vorspannung,SP_BRUCHG,1630,
4B0W1WZJ,Vorspannung,HERSTELLER,150082220000000,
4B0W1WZJ,Vorspannung,ART_VERPR,150091000000000,
4B0W1WZJ,Vorspannung,TYP,AK 163,
4B0W1WZJ,Vorspannung,BAUJAHR,1978,year
4B0W1WZJ,Vorspannung,ORT,Längsträger***,text
4B0W1WZJ,Vorspannung,BWNR,B115,
4B0W1WZJ,Vorspannung,TEIL_BWNR,0,
4B0W1WZJ,Vorspannung,BAUTEILNR,130011151000000,
4B0W1WZJ,Vorspannung,VORSP_NR,1,
4B0W1WZJ,Vorspannung,BEARB_DAT,2002-08-27 08:16:06.999,dateTime
4B0W1WZJ,Vorspannung,BEARBEITER,CODEKERK,text
4B0W1WZJ,Vorspannung,ID_NR,B115    0,
4B0W1WZJ,Vorspannung,IDENT,4B0W1WZJ,
4B0W1WZJ,Vorspannung,AMT,533,text
4B0W1WZJ,Vorspannung,REF_VSPANN,4B0W1X9O,
4B0W1WZJ,Vorspannung,EZULNR,keine Zuordnung,
4B0W1WZJ,Vorspannung,DZULNR,Z-13.1-16,
4B0W1WZK,Vorspannung,RICHTUNG,150012000000000,
4B0W1WZK,Vorspannung,INT_EXT,150021000000000,
4B0W1WZK,Vorspannung,VORSP_GRAD,150031000000000,
4B0W1WZK,Vorspannung,SPANNVERF,150042311000000,
4B0W1WZK,Vorspannung,SP_KRAFT,135,
4B0W1WZK,Vorspannung,SP_STRECKG,1450,
4B0W1WZK,Vorspannung,SP_BRUCHG,1630,
4B0W1WZK,Vorspannung,HERSTELLER,150082220000000,
4B0W1WZK,Vorspannung,ART_VERPR,150091000000000,
4B0W1WZK,Vorspannung,TYP,AK 124,
4B0W1WZK,Vorspannung,BAUJAHR,1978,year
4B0W1WZK,Vorspannung,ORT,End-Querträger***,text
4B0W1WZK,Vorspannung,BEMERKUNG," nach Bauwerksbuch von 1980 Spanntyp AK 163, gemäß freigegebenen Ausführungsplänen Typ AK 124***",text
4B0W1WZK,Vorspannung,BWNR,B115,
4B0W1WZK,Vorspannung,TEIL_BWNR,0,
4B0W1WZK,Vorspannung,BAUTEILNR,130011151000000,
4B0W1WZK,Vorspannung,VORSP_NR,1,
4B0W1WZK,Vorspannung,BEARB_DAT,2012-03-12 15:08:53.000,dateTime
4B0W1WZK,Vorspannung,BEARBEITER,Kliems,text
4B0W1WZK,Vorspannung,ID_NR,B115    0,
4B0W1WZK,Vorspannung,IDENT,4B0W1WZK,
4B0W1WZK,Vorspannung,AMT,533,text
4B0W1WZK,Vorspannung,REF_VSPANN,4B0W1X9P,
4B0W1WZK,Vorspannung,EZULNR,keine Zuordnung,
4B0W1WZK,Vorspannung,DZULNR,Z-13.1-16,
4B0W1WZL,Vorspannung,RICHTUNG,150012000000000,
4B0W1WZL,Vorspannung,INT_EXT,150021000000000,
4B0W1WZL,Vorspannung,VORSP_GRAD,150031000000000,
4B0W1WZL,Vorspannung,SPANNVERF,150042311000000,
4B0W1WZL,Vorspannung,SP_KRAFT,103,
4B0W1WZL,Vorspannung,SP_STRECKG,1450,
4B0W1WZL,Vorspannung,SP_BRUCHG,1630,
4B0W1WZL,Vorspannung,HERSTELLER,150082220000000,
4B0W1WZL,Vorspannung,ART_VERPR,150091000000000,
4B0W1WZL,Vorspannung,TYP,AK 41,
4B0W1WZL,Vorspannung,BAUJAHR,1978,year
4B0W1WZL,Vorspannung,ORT,Fahrbahnplatte***,text
4B0W1WZL,Vorspannung,BWNR,B115,
4B0W1WZL,Vorspannung,TEIL_BWNR,0,
4B0W1WZL,Vorspannung,BAUTEILNR,130011151000000,
4B0W1WZL,Vorspannung,VORSP_NR,1,
4B0W1WZL,Vorspannung,BEARB_DAT,2002-08-27 08:17:15.999,dateTime
4B0W1WZL,Vorspannung,BEARBEITER,CODEKERK,text
4B0W1WZL,Vorspannung,ID_NR,B115    0,
4B0W1WZL,Vorspannung,IDENT,4B0W1WZL,
4B0W1WZL,Vorspannung,AMT,533,text
4B0W1WZL,Vorspannung,REF_VSPANN,4B0W1X9Q,
4B0W1WZL,Vorspannung,EZULNR,keine Zuordnung,
4B0W1WZL,Vorspannung,DZULNR,Z-13.1-16,
4B0W1X9C,PrueffahrzeugPruefgeraet,ID_NR,B115    0,
4B0W1X9C,PrueffahrzeugPruefgeraet,GERAET_ART,360012100000000,
4B0W1X9C,PrueffahrzeugPruefgeraet,DAUER_EINS,0.5,
4B0W1X9C,PrueffahrzeugPruefgeraet,BWNR,B115,
4B0W1X9C,PrueffahrzeugPruefgeraet,TEIL_BWNR,0,
4B0W1X9C,PrueffahrzeugPruefgeraet,BEARB_DAT,2005-12-06 14:29:08.999,dateTime
4B0W1X9C,PrueffahrzeugPruefgeraet,BEARBEITER,Holzbach,text
4B0W1X9C,PrueffahrzeugPruefgeraet,GERAET_NR,2,
4B0W1X9C,PrueffahrzeugPruefgeraet,IDENT,4B0W1X9C,
4B0W1X9C,PrueffahrzeugPruefgeraet,AMT,533,text
4B0W1WXL,Leitung,ART,260012110000000,
4B0W1WXL,Leitung,ORT,Kappe rechts und links***,text
4B0W1WXL,Leitung,DURCHM,80,
4B0W1WXL,Leitung,LEITUNGSTR,Stawag***,
4B0W1WXL,Leitung,BUENDELUNG,0,
4B0W1WXL,Leitung,ANZAHL,2,int
4B0W1WXL,Leitung,NUTZVEREIN,0,
4B0W1WXL,Leitung,BWNR,B115,
4B0W1WXL,Leitung,TEIL_BWNR,0,
4B0W1WXL,Leitung,BAUTEILNR,130011151000000,
4B0W1WXL,Leitung,LEITUNGSNR,1,
4B0W1WXL,Leitung,BEARB_DAT,2002-08-27 07:59:03,dateTime
4B0W1WXL,Leitung,BEARBEITER,CODEKERK,text
4B0W1WXL,Leitung,ID_NR,B115    0,
4B0W1WXL,Leitung,IDENT,4B0W1WXL,
4B0W1WXL,Leitung,AMT,533,text
4B0W1WZO,Feld,ART,40011100000000,
